# [No.1] construct_wrapper.112
# In file C:\Users\11314\AppData\Local\Temp\ipykernel_10100\3026731931.py(62)/
funcgraph fg_112(
        %para1 : Tensor(F64)[4, 128]    # q
        , %para262 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.output.layer_norm.gamma
        , %para263 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.attention.output.layer_norm.beta
        , %para264 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.1.intermediate.dense.weight
        , %para265 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.1.intermediate.dense.bias
        , %para266 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.1.output.dense.weight
        , %para267 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.output.dense.bias
        , %para268 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.output.layer_norm.gamma
        , %para269 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.1.output.layer_norm.beta
        , %para270 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.query.weight
        , %para271 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.query.bias
        , %para272 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.key.weight
        , %para273 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.key.bias
        , %para274 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.value.weight
        , %para275 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.self_attn.value.bias
        , %para276 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.2.attention.output.dense.weight
        , %para277 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.output.dense.bias
        , %para278 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.output.layer_norm.gamma
        , %para279 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.attention.output.layer_norm.beta
        , %para280 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.2.intermediate.dense.weight
        , %para281 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.2.intermediate.dense.bias
        , %para282 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.2.output.dense.weight
        , %para283 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.output.dense.bias
        , %para284 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.output.layer_norm.gamma
        , %para285 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.2.output.layer_norm.beta
        , %para286 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.query.weight
        , %para287 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.query.bias
        , %para288 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.key.weight
        , %para289 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.key.bias
        , %para290 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.value.weight
        , %para291 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.self_attn.value.bias
        , %para292 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.3.attention.output.dense.weight
        , %para293 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.output.dense.bias
        , %para294 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.output.layer_norm.gamma
        , %para295 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.attention.output.layer_norm.beta
        , %para296 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.3.intermediate.dense.weight
        , %para297 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.3.intermediate.dense.bias
        , %para298 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.3.output.dense.weight
        , %para299 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.output.dense.bias
        , %para300 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.output.layer_norm.gamma
        , %para301 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.3.output.layer_norm.beta
        , %para302 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.query.weight
        , %para303 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.query.bias
        , %para304 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.key.weight
        , %para305 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.key.bias
        , %para306 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.value.weight
        , %para307 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.self_attn.value.bias
        , %para308 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.4.attention.output.dense.weight
        , %para309 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.output.dense.bias
        , %para310 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.output.layer_norm.gamma
        , %para311 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.attention.output.layer_norm.beta
        , %para312 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.4.intermediate.dense.weight
        , %para313 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.4.intermediate.dense.bias
        , %para314 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.4.output.dense.weight
        , %para315 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.output.dense.bias
        , %para316 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.output.layer_norm.gamma
        , %para317 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.4.output.layer_norm.beta
        , %para318 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.query.weight
        , %para319 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.query.bias
        , %para320 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.key.weight
        , %para321 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.key.bias
        , %para322 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.value.weight
        , %para323 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.self_attn.value.bias
        , %para324 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.5.attention.output.dense.weight
        , %para325 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.output.dense.bias
        , %para326 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.output.layer_norm.gamma
        , %para327 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.attention.output.layer_norm.beta
        , %para328 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.5.intermediate.dense.weight
        , %para329 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.5.intermediate.dense.bias
        , %para330 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.5.output.dense.weight
        , %para331 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.output.dense.bias
        , %para332 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.output.layer_norm.gamma
        , %para333 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.5.output.layer_norm.beta
        , %para334 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.query.weight
        , %para335 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.query.bias
        , %para336 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.key.weight
        , %para337 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.key.bias
        , %para338 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.value.weight
        , %para339 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.self_attn.value.bias
        , %para340 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.6.attention.output.dense.weight
        , %para341 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.output.dense.bias
        , %para342 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.output.layer_norm.gamma
        , %para343 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.attention.output.layer_norm.beta
        , %para344 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.6.intermediate.dense.weight
        , %para345 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.6.intermediate.dense.bias
        , %para346 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.6.output.dense.weight
        , %para347 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.output.dense.bias
        , %para348 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.output.layer_norm.gamma
        , %para349 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.6.output.layer_norm.beta
        , %para350 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.query.weight
        , %para351 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.query.bias
        , %para352 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.key.weight
        , %para353 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.key.bias
        , %para354 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.value.weight
        , %para355 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.self_attn.value.bias
        , %para356 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.7.attention.output.dense.weight
        , %para357 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.output.dense.bias
        , %para358 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.output.layer_norm.gamma
        , %para359 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.attention.output.layer_norm.beta
        , %para360 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.7.intermediate.dense.weight
        , %para361 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.7.intermediate.dense.bias
        , %para362 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.7.output.dense.weight
        , %para363 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.output.dense.bias
        , %para364 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.output.layer_norm.gamma
        , %para365 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.7.output.layer_norm.beta
        , %para366 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.query.weight
        , %para367 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.query.bias
        , %para368 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.key.weight
        , %para369 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.key.bias
        , %para370 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.value.weight
        , %para371 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.self_attn.value.bias
        , %para372 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.8.attention.output.dense.weight
        , %para373 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.output.dense.bias
        , %para374 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.output.layer_norm.gamma
        , %para375 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.attention.output.layer_norm.beta
        , %para376 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.8.intermediate.dense.weight
        , %para377 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.8.intermediate.dense.bias
        , %para378 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.8.output.dense.weight
        , %para379 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.output.dense.bias
        , %para380 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.output.layer_norm.gamma
        , %para381 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.8.output.layer_norm.beta
        , %para382 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.query.weight
        , %para383 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.query.bias
        , %para384 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.key.weight
        , %para385 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.key.bias
        , %para386 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.value.weight
        , %para387 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.self_attn.value.bias
        , %para388 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.9.attention.output.dense.weight
        , %para389 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.output.dense.bias
        , %para390 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.output.layer_norm.gamma
        , %para391 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.attention.output.layer_norm.beta
        , %para392 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.9.intermediate.dense.weight
        , %para393 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.9.intermediate.dense.bias
        , %para394 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.9.output.dense.weight
        , %para395 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.output.dense.bias
        , %para396 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.output.layer_norm.gamma
        , %para397 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.9.output.layer_norm.beta
        , %para398 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.query.weight
        , %para399 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.query.bias
        , %para400 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.key.weight
        , %para401 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.key.bias
        , %para402 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.value.weight
        , %para403 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.self_attn.value.bias
        , %para404 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.10.attention.output.dense.weight
        , %para405 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.output.dense.bias
        , %para406 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.output.layer_norm.gamma
        , %para407 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.attention.output.layer_norm.beta
        , %para408 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.10.intermediate.dense.weight
        , %para409 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.10.intermediate.dense.bias
        , %para410 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.10.output.dense.weight
        , %para411 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.output.dense.bias
        , %para412 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.output.layer_norm.gamma
        , %para413 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.10.output.layer_norm.beta
        , %para414 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.query.weight
        , %para415 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.query.bias
        , %para416 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.key.weight
        , %para417 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.key.bias
        , %para418 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.value.weight
        , %para419 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.self_attn.value.bias
        , %para420 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.encoder.layer.11.attention.output.dense.weight
        , %para421 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.output.dense.bias
        , %para422 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.output.layer_norm.gamma
        , %para423 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.attention.output.layer_norm.beta
        , %para424 : Ref[Tensor(F32)][3072, 768]    # moment1.ques_channel.encoder.layer.11.intermediate.dense.weight
        , %para425 : Ref[Tensor(F32)][3072]    # moment1.ques_channel.encoder.layer.11.intermediate.dense.bias
        , %para426 : Ref[Tensor(F32)][768, 3072]    # moment1.ques_channel.encoder.layer.11.output.dense.weight
        , %para427 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.output.dense.bias
        , %para428 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.output.layer_norm.gamma
        , %para429 : Ref[Tensor(F32)][768]    # moment1.ques_channel.encoder.layer.11.output.layer_norm.beta
        , %para430 : Ref[Tensor(F32)][768, 768]    # moment1.ques_channel.pooler.dense.weight
        , %para431 : Ref[Tensor(F32)][768]    # moment1.ques_channel.pooler.dense.bias
        , %para432 : Ref[Tensor(F32)][512, 768]    # moment1.san.0.ff_image.weight
        , %para433 : Ref[Tensor(F32)][512]    # moment1.san.0.ff_image.bias
        , %para434 : Ref[Tensor(F32)][512, 768]    # moment1.san.0.ff_ques.weight
        , %para435 : Ref[Tensor(F32)][512]    # moment1.san.0.ff_ques.bias
        , %para436 : Ref[Tensor(F32)][1, 512]    # moment1.san.0.ff_attention.weight
        , %para437 : Ref[Tensor(F32)][1]    # moment1.san.0.ff_attention.bias
        , %para438 : Ref[Tensor(F32)][17625, 768]    # moment1.mlp.1.weight
        , %para439 : Ref[Tensor(F32)][17625]    # moment1.mlp.1.bias
        , %para440 : Ref[Tensor(F32)][64, 3, 3, 3]    # moment2.image_channel.simple_cnn.0.weight
        , %para441 : Ref[Tensor(F32)][64]    # moment2.image_channel.simple_cnn.1.gamma
        , %para442 : Ref[Tensor(F32)][64]    # moment2.image_channel.simple_cnn.1.beta
        , %para443 : Ref[Tensor(F32)][128, 64, 3, 3]    # moment2.image_channel.simple_cnn.4.weight
        , %para444 : Ref[Tensor(F32)][128]    # moment2.image_channel.simple_cnn.5.gamma
        , %para445 : Ref[Tensor(F32)][128]    # moment2.image_channel.simple_cnn.5.beta
        , %para446 : Ref[Tensor(F32)][256, 128, 3, 3]    # moment2.image_channel.simple_cnn.8.weight
        , %para447 : Ref[Tensor(F32)][256]    # moment2.image_channel.simple_cnn.9.gamma
        , %para448 : Ref[Tensor(F32)][256]    # moment2.image_channel.simple_cnn.9.beta
        , %para449 : Ref[Tensor(F32)][768, 256, 3, 3]    # moment2.image_channel.simple_cnn.12.weight
        , %para450 : Ref[Tensor(F32)][30522, 768]    # moment2.ques_channel.embeddings.word_embeddings.embedding_table
        , %para451 : Ref[Tensor(F32)][512, 768]    # moment2.ques_channel.embeddings.position_embeddings.embedding_table
        , %para452 : Ref[Tensor(F32)][2, 768]    # moment2.ques_channel.embeddings.token_type_embeddings.embedding_table
        , %para453 : Ref[Tensor(F32)][768]    # moment2.ques_channel.embeddings.layer_norm.gamma
        , %para454 : Ref[Tensor(F32)][768]    # moment2.ques_channel.embeddings.layer_norm.beta
        , %para455 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.query.weight
        , %para456 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.query.bias
        , %para457 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.key.weight
        , %para458 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.key.bias
        , %para459 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.value.weight
        , %para460 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.self_attn.value.bias
        , %para461 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.0.attention.output.dense.weight
        , %para462 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.output.dense.bias
        , %para463 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.output.layer_norm.gamma
        , %para464 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.attention.output.layer_norm.beta
        , %para465 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.0.intermediate.dense.weight
        , %para466 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.0.intermediate.dense.bias
        , %para467 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.0.output.dense.weight
        , %para468 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.output.dense.bias
        , %para469 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.output.layer_norm.gamma
        , %para470 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.0.output.layer_norm.beta
        , %para471 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.query.weight
        , %para472 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.query.bias
        , %para473 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.key.weight
        , %para474 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.key.bias
        , %para475 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.value.weight
        , %para476 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.self_attn.value.bias
        , %para477 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.1.attention.output.dense.weight
        , %para478 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.output.dense.bias
        , %para479 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.output.layer_norm.gamma
        , %para480 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.attention.output.layer_norm.beta
        , %para481 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.1.intermediate.dense.weight
        , %para482 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.1.intermediate.dense.bias
        , %para483 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.1.output.dense.weight
        , %para484 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.output.dense.bias
        , %para485 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.output.layer_norm.gamma
        , %para486 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.1.output.layer_norm.beta
        , %para487 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.query.weight
        , %para488 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.query.bias
        , %para489 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.key.weight
        , %para490 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.key.bias
        , %para491 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.value.weight
        , %para492 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.self_attn.value.bias
        , %para493 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.2.attention.output.dense.weight
        , %para494 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.output.dense.bias
        , %para495 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.output.layer_norm.gamma
        , %para496 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.attention.output.layer_norm.beta
        , %para497 : Ref[Tensor(F32)][3072, 768]    # moment2.ques_channel.encoder.layer.2.intermediate.dense.weight
        , %para498 : Ref[Tensor(F32)][3072]    # moment2.ques_channel.encoder.layer.2.intermediate.dense.bias
        , %para499 : Ref[Tensor(F32)][768, 3072]    # moment2.ques_channel.encoder.layer.2.output.dense.weight
        , %para500 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.output.dense.bias
        , %para501 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.output.layer_norm.gamma
        , %para502 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.2.output.layer_norm.beta
        , %para503 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.query.weight
        , %para504 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.query.bias
        , %para505 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.key.weight
        , %para506 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.key.bias
        , %para507 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.value.weight
        , %para508 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.self_attn.value.bias
        , %para509 : Ref[Tensor(F32)][768, 768]    # moment2.ques_channel.encoder.layer.3.attention.output.dense.weight
        , %para510 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.output.dense.bias
        , %para511 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.output.layer_norm.gamma
        , %para512 : Ref[Tensor(F32)][768]    # moment2.ques_channel.encoder.layer.3.attention.output.layer_norm.beta
